,Longitude,Latitude,line,station,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
360,2.193312,41.435959,RENFE,SANT ANDREU COMTAL/RENFE,9,Restaurant,Coffe Shop,Plaza,Park,Supermarket,Bar,Brewery,Japanese Restaurant,Coworking Space,Shopping Mall
388,2.13621,41.382176,METRO (L3),PLAÇA DEL CENTRE/METRO (L3),9,Restaurant,Coffe Shop,Grocery Store,Bakery,Mediterranean Restaurant,Supermarket,Hotel,Park,Gym,Tapas Restaurant
389,2.111704,41.384208,METRO (L3),ZONA UNIVERSITÀRIA/METRO (L3),0,Restaurant,Gym,Bar,Nightclub,Hot Dog Joint,Sports Club,Athletics & Sports,Hotel Pool,Print Shop,Italian Restaurant
394,2.194384,41.449539,METRO (L1),TRINITAT VELLA/METRO (L1),4,Restaurant,Soccer Field,Tapas Restaurant,Plaza,Park,Comfort Food Restaurant,Football Stadium,Monument / Landmark,South American Restaurant,Taco Place
401,2.131844,41.389343,"TRAMVIA (T1,T2,T3)","NUMÀNCIA/TRAMVIA (T1,T2,T3)",0,Restaurant,Coffe Shop,Hotel,Clothing Store,Sandwich Place,Supermarket,Sushi Restaurant,Cocktail Bar,Burger Joint,Italian Restaurant
427,2.163454,41.368756,Telefèric de Montjuïc,Parc de Montjuïc/Telefèric de Montjuïc,1,Mediterranean Restaurant,Park,Coffe Shop,Brewery,Cocktail Bar,Pizza Place,Restaurant,Racetrack,Bus Stop,Gastropub
454,2.19746,41.399026,METRO (L4),LLACUNA/METRO (L4),1,Restaurant,Mediterranean Restaurant,Hotel,Coffe Shop,Bakery,Pizza Place,Italian Restaurant,Beer Bar,Art Gallery,Argentinian Restaurant
458,2.140978,41.417691,METRO (L3),PENITENTS/METRO (L3),2,Restaurant,Hotel,Snack Place,Coffe Shop,Football Stadium,Mediterranean Restaurant,Plaza,Breakfast Spot,Soccer Field,Monument / Landmark
460,2.139358,41.368228,FGC,MAGÒRIA/FGC,9,Supermarket,Restaurant,Hotel,Burger Joint,Gym,Pizza Place,Theater,Sports Club,Dog Run,Food & Drink Shop
465,2.205212,41.436173,"METRO (L9, L10)","BON PASTOR/METRO (L9, L10)",0,Restaurant,Coffe Shop,Italian Restaurant,Mediterranean Restaurant,Grocery Store,Bakery,Athletics & Sports,Football Stadium,Monument / Landmark,South American Restaurant
468,2.141445,41.425067,METRO (L5),VALL D'HEBRÓN/METRO (L5),4,Restaurant,Soccer Stadium,Bakery,Athletics & Sports,Farmers Market,Basketball Court,Bar,Stadium,Soccer Field,Grocery Store
476,2.200227,41.450043,METRO (L1),BARÓ DE VIVER/METRO (L1),4,Plaza,Coffe Shop,Salon / Barbershop,Park,Track Stadium,Supermarket,Soccer Field,Burger Joint,Neighborhood,Rock Club
484,2.13165,41.415969,TRAMVIA BLAU,PL. DR. ANDREU/TRAMVIA BLAU,4,Restaurant,Bar,Planetarium,Plaza,Park,Cocktail Bar,Football Stadium,Science Museum,Animal Shelter,Exhibit
486,2.198381,41.406205,TRAMVIA (T4),PERE IV/TRAMVIA (T4),1,Mediterranean Restaurant,Restaurant,Hotel,Italian Restaurant,Supermarket,Vegetarian / Vegan Restaurant,Japanese Restaurant,Pizza Place,Asian Restaurant,Bakery
507,2.152798,41.402597,METRO (L3),FONTANA/METRO (L3),7,Restaurant,Coffe Shop,Plaza,Tapas Restaurant,Mediterranean Restaurant,Pizza Place,Bar,Bookstore,Sushi Restaurant,Ice Cream Shop
512,2.112031,41.376647,"TRAMVIA (T1,T2,T3)","SANT RAMON/TRAMVIA (T1,T2,T3)",9,Restaurant,Gym,Coffe Shop,Supermarket,Wine Shop,Hostel,Food Truck,Hotel,Bar,South American Restaurant
558,2.0915630000000003,41.427474,FGC,LES PLANES/FGC,6,Restaurant,BBQ Joint,Rock Club,Toy / Game Store,Food Court,Football Stadium,Monument / Landmark,South American Restaurant,Taco Place,Port
559,2.130075,41.398154,FGC,LES TRES TORRES<center>/FGC,0,Restaurant,Hotel,Mediterranean Restaurant,Burger Joint,Pizza Place,Pedestrian Plaza,Doctor's Office,Italian Restaurant,Seafood Restaurant,Mexican Restaurant
565,2.09734,41.419668,FGC,BAIXADOR DE VALLVIDRERA/FGC,8,Restaurant,Lake,Tourist Information Center,Hostel,Castle,Port,Toy / Game Store,Food Court,Football Stadium,Monument / Landmark
569,2.147573,41.401403,FGC (L7),PLAÇA MOLINA/FGC (L7),1,Coffe Shop,Mediterranean Restaurant,Restaurant,Bakery,Hotel,Tapas Restaurant,Plaza,Wine Bar,Pizza Place,Italian Restaurant
588,2.19139,41.40443,TRAMVIA (T4),CA L'ARANYÓ/TRAMVIA (T4),0,Restaurant,Hotel,Japanese Restaurant,Mediterranean Restaurant,Art Museum,Vegetarian / Vegan Restaurant,Italian Restaurant,Clothing Store,Tapas Restaurant,Comfort Food Restaurant
597,2.1429970000000003,41.392183,"TRAMVIA (T1,T2,T3)","FRANCESC MACIÀ/TRAMVIA (T1,T2,T3)",0,Restaurant,Coffe Shop,Japanese Restaurant,Mediterranean Restaurant,Bakery,Italian Restaurant,Burger Joint,Cocktail Bar,Hotel,Wine Shop
598,2.126641,41.388002,"TRAMVIA (T1,T2,T3)","Mª CRISTINA/TRAMVIA (T1,T2,T3)",0,Restaurant,Coffe Shop,Hotel,Supermarket,Bar,Sandwich Place,Diner,Cocktail Bar,Burger Joint,Italian Restaurant
617,2.178343,41.384137,METRO (L4),JAUME I/METRO (L4),7,Tapas Restaurant,Coffe Shop,Plaza,Hotel,Wine Bar,Bar,Dessert Shop,Restaurant,Cocktail Bar,Ice Cream Shop
